Model,CV F-Score,Test Accuracy,Test F(0.5)
GradientBoostingClassifier,0.75461460091517,0.8703150912106136,0.7514998421218819
RandomForestClassifier,0.7387188128231773,0.8594803758982863,0.7331825890333522
LogisticRegression,0.6924917459168369,0.84212271973466,0.6843267108167771
